Rank,Количество,Последовательность
389,131,русск
390,131,сем
391,131,соб
392,130,иногд
393,130,нем
394,130,страшн
395,130,хабр
396,129,например
397,128,работат
398,128,реклам
399,128,чувств
400,127,добр
401,127,мно
402,127,оказалос
403,127,постоян
404,127,спрашивает
405,127,тех
406,127,хрен
407,126,вещ
408,126,скор
409,125,открыт
410,125,помню
411,125,равн
412,124,директор
413,124,номер
414,123,звонит
415,123,обратн
416,123,прич
417,122,должен
418,122,могут
419,122,программ
420,121,дан
421,121,кстат
422,121,отличн
423,121,очеред
424,120,диалог
425,120,ой
426,120,поставил
427,120,старш
428,120,увидел
429,119,банк
430,119,истор
431,119,ребенк
432,119,сидит
433,119,сотрудник
434,118,итог
435,118,немн
436,117,мальчик
437,116,спат
438,115,20
439,115,детск
440,115,откуд
441,115,чувак
442,114,очередн
443,114,посмотрел
444,114,ходит
445,113,говорят
446,113,класс
447,113,компьютер
448,113,мысл
449,113,чо
450,112,двух
451,112,кухн
452,112,люблю
453,112,понят
454,111,групп
455,111,пакет
456,111,приходит
457,111,этим
458,110,15
459,110,8
460,110,неделю
461,110,оказываетс
462,109,выходн
463,109,куч
464,108,вся
465,108,начинает
466,108,остальн
467,108,этаж
468,107,короч
469,107,однажд
470,106,знал
471,106,красн
472,106,курс
473,106,п
474,106,парен
475,106,пишет
476,106,спасиб
477,105,гост
478,105,ладн
479,105,мелк
480,105,слыш
481,105,че
482,104,дне
483,104,наконец
484,104,нашл
485,103,б
486,103,могл
487,103,ник
488,103,подъезд
489,103,попросил
490,103,размер
491,103,реальн
492,103,сестр
493,103,та
494,102,выход
495,102,говорил
496,102,д
497,102,друз
498,102,иду
499,102,ком
500,102,росс
501,102,сил
502,101,дал
503,101,приехал
504,101,примерн
505,101,пришел
506,101,сер
507,101,экран
508,100,двор
509,100,коф
510,100,моег
511,100,секунд
512,100,скаж
513,99,идет
514,99,моем
515,99,подходит
516,99,смотрет
517,98,ван
518,98,делал
519,98,кабинет
520,98,кнопк
521,98,москв
522,98,повод
523,98,работал
524,98,случайн
525,97,код
526,97,легк
527,97,народ
528,97,те
529,97,черн
530,96,30
531,96,денег
532,96,крут
533,96,смотр
534,96,хочетс
535,95,диван
536,95,довольн
537,95,особен
538,95,работаю
539,95,рад
540,95,стен
541,94,лес
542,94,либ
543,94,получил
544,94,сих
545,94,центр
546,93,виде
547,93,найт
548,93,пришлос
549,93,проект
550,93,процесс
551,93,проч
552,93,ребенок
553,93,смотрел
554,93,узнал
555,92,дочк
556,92,здоров
557,92,нужен
558,92,систем
559,92,текст
560,91,подумал
561,91,сложн
562,90,вариант
563,90,забыл
564,90,котик
565,90,любим
566,90,ночью
567,90,парн
568,90,пожалуйст
569,90,посмотрет
570,90,соседн
571,89,aaa
572,89,вокруг
573,89,пошел
574,89,спрашиваю
575,88,звук
576,88,зуб
577,88,написан
578,88,пив
579,88,половин
580,88,холодильник
581,88,хочеш
582,87,душ
583,87,мим
584,87,мою
585,87,написал
586,86,дач
587,86,ремонт
588,86,стольк
589,86,суд
590,86,умн
591,85,6
592,85,коммент
593,85,мил
594,85,младш
595,84,c
596,84,возраст
597,84,завтр
598,84,занят
599,84,здес
600,84,зим
601,84,ответил
602,84,рассказал
603,84,телевизор
604,84,штук
605,83,автобус
606,83,дерев
607,83,меньш
608,83,результат
609,83,сообщен
610,83,ходил
611,82,видн
612,82,громк
613,82,гугл
614,82,жит
615,82,ок
616,82,письм
617,82,снов
618,82,сред
619,82,тих
620,82,туалет
621,82,ужас
622,82,хватает
623,81,7
624,81,взросл
625,81,взят
626,81,выходит
627,81,вышл
628,81,длин
629,81,неё
630,81,огромн
631,81,привет
632,81,рубл
633,81,студент
634,80,верс
635,80,дам
636,80,дед
637,80,документ
638,80,женск
639,80,здравствуйт
640,80,настоящ
641,80,сервер
642,80,хочет
643,80,чист
644,79,букв
645,79,внезапн
646,79,личн
647,79,музык
648,79,нравитс
649,79,поехал
650,79,щас
651,78,делает
652,78,зарплат
653,78,понятн
654,78,прекрасн
655,78,слишк
656,78,читат
657,77,будеш
658,77,дат
659,77,местн
660,77,пальц
661,77,цен
662,76,yyy&gt
663,76,возможн
664,76,волос
665,76,написат
666,76,носк
667,76,пользовател
668,76,причин
669,76,против
670,76,рассказывал
671,76,страниц
672,76,тел
673,76,этих
674,75,балкон
675,75,водк
676,75,ключ
677,75,лев
678,75,мужск
679,75,ошибк
680,75,ситуац
681,75,фот
682,74,еду
683,74,зелен
684,74,лиш
685,74,объявлен
686,74,сто
687,74,точк
688,74,упал
689,73,говн
690,73,действительн
691,73,единствен
692,73,карт
693,73,ноут
694,73,отпуск
695,73,писат
696,73,пут
697,73,сон
698,73,форм
699,73,холодн
700,72,40
701,72,бутылк
702,72,диск
703,72,домашн
704,72,животн
705,72,иде
706,72,любит
707,72,нашел
708,72,пробл
709,72,рожден
710,72,смерт
711,72,стоят
712,72,успел
713,71,бывш
714,71,взгляд
715,71,винд
716,71,заказчик
717,71,заметил
718,71,кром
719,71,лифт
720,71,мыш
721,71,отвечает
722,71,открыл
723,71,пойд
724,71,получаетс
725,71,робот
726,71,сид
727,71,смог
728,71,собствен
729,71,уверен
730,71,х
731,70,арм
732,70,бумаг
733,70,десят
734,70,знат
735,70,качеств
736,70,окол
737,70,сидел
738,70,той
739,70,фотк
740,69,внутр
741,69,делают
742,69,мяс
743,69,называетс
744,69,нос
745,69,особ
746,69,писал
747,69,сет
748,69,совершен
749,69,спин
750,69,спокойн
751,69,фирм
752,69,ход
753,69,чай
754,69,числ
755,69,яйц
756,68,yyу
757,68,бесплатн
758,68,бухгалтер
759,68,бывает
760,68,вполн
761,68,задач
762,68,картин
763,68,контор
764,68,отношен
765,68,ощущен
766,68,стоял
767,68,тест
768,68,трубк
769,68,фамил
770,68,читаю
771,67,важн
772,67,естествен
773,67,заходит
774,67,идеальн
775,67,имя
776,67,коробк
777,67,мастер
778,67,разниц
779,67,способ
780,67,спросит
781,67,четыр
782,66,100
783,66,водител
784,66,вспомнил
785,66,днях
786,66,земл
787,66,камер
788,66,коридор
789,66,небольш
790,66,отец
791,66,провод
792,66,связ
793,66,срочн
794,66,тысяч
795,66,честн
796,66,шкаф
797,65,возл
798,65,жж
799,65,информац
800,65,фигн
801,64,x
802,64,боюс
803,64,век
804,64,давайт
805,64,дале
806,64,движен
807,64,дво
808,64,ездит
809,64,кин
810,64,кроват
811,64,лежит
812,64,обед
813,64,положен
814,64,принцип
815,64,прихож
816,64,специальн
817,64,хуж
818,64,читал
819,64,шест
820,63,дай
821,63,жил
822,63,закрыт
823,63,инженер
824,63,настольк
825,63,непонятн
826,63,понимает
827,63,решен
828,63,тяжел
829,62,будущ
830,62,достаточн
831,62,жду
832,62,инач
833,62,конец
834,62,кухню
835,62,план
836,62,понимаеш
837,62,пост
838,62,пьян
839,62,совет
840,62,стекл
841,61,50
842,61,мор
843,61,практическ
844,61,предложен
845,61,район
846,61,ручк
847,61,свадьб
848,61,смартфон
849,61,туп
850,60,автомат
851,60,аж
852,60,будт
853,60,весел
854,60,встал
855,60,выражен
856,60,горяч
857,60,начинаю
858,60,обо
859,60,позвонил
860,60,поход
861,60,препод
862,60,ребят
863,60,серьезн
864,60,средн
865,59,баб
866,59,бог
867,59,вниман
868,59,играт
869,59,игрушк
870,59,китайск
871,59,норм
872,59,основн
873,59,питер
874,59,пиш
875,59,попал
876,59,сверх
877,59,сел
878,59,чуж
879,58,12
880,58,9
881,58,админ
882,58,вин
883,58,завод
884,58,задумчив
885,58,количеств
886,58,мусор
887,58,описан
888,58,опыт
889,58,отзыв
890,58,пит
891,58,плюс
892,58,подарил
893,58,сериал
894,58,удобн
895,58,ушл
896,58,чат
897,57,iphone
898,57,nbsp
899,57,ааа
900,57,возможност
901,57,кем
902,57,очк
903,57,полтор
904,57,помоч
905,57,разработчик
906,57,т
907,56,bbb
908,56,видит
909,56,команд
910,56,крик
911,56,лен
912,56,обязательн
913,56,род
914,56,рул
915,56,скорост
916,56,состоян
917,56,т.д.
918,56,темн
919,56,фотограф
920,56,хотит
921,55,o
922,55,английск
923,55,бер
924,55,браузер
925,55,говор
926,55,звонил
927,55,зовут
928,55,мудак
929,55,остановк
930,55,памят
931,55,погод
932,55,получит
933,55,правил
934,55,продукт
935,55,пятниц
936,55,рассказывает
937,55,супруг
938,55,такс
939,55,тоб
940,55,файл
941,54,действ
942,54,задн
943,54,идт
944,54,кров
945,54,менеджер
946,54,метод
947,54,обнаружил
948,54,приходитс
949,54,происходит
950,54,просит
951,54,слышал
952,54,современ
953,53,бабк
954,53,вкусн
955,53,ездил
956,53,золот
957,53,ибо
958,53,играет
959,53,леж
960,53,ноутбук
961,53,одежд
962,53,планет
963,53,порядк
964,53,праздник
965,53,товарищ
966,52,воен
967,52,далек
968,52,дебил
969,52,зашл
970,52,звонок
971,52,картинк
972,52,крайн
973,52,медлен
974,52,нафиг
975,52,одинаков
976,52,отдельн
977,52,парол
978,52,получилос
979,52,пример
980,52,приятн
981,52,продаж
982,52,р
983,52,свободн
984,52,тепл
985,52,услышал
986,51,diamant
987,51,билет
988,51,весн
989,51,воздух
990,51,выяснилос
991,51,гол
992,51,делаю
993,51,дик
994,51,ехат
995,51,желан
996,51,играл
997,51,использоват
998,51,неч
999,51,паспорт
1000,51,планшет
1001,51,поставит
1002,51,ран
1003,51,резк
1004,51,реч
1005,51,советск
1006,51,стою
1007,51,тишин
1008,51,удивлен
1009,51,узнат
1010,51,хозяин
1011,51,явн
1012,50,111
1013,50,автомобил
1014,50,баз
1015,50,войн
1016,50,высок
1017,50,двум
1018,50,железн
1019,50,живет
1020,50,заказ
1021,50,замуж
1022,50,зеркал
1023,50,зрен
1024,50,картошк
1025,50,классн
1026,50,книжк
1027,50,лишн
1028,50,морд
1029,50,оттуд
1030,50,поиск
1031,50,программирован
1032,50,работают
1033,50,тетк
1034,50,тро
1035,50,угл
1036,50,хер
1037,49,андр
1038,49,велик
1039,49,идиот
1040,49,имеет
1041,49,курит
1042,49,мене
1043,49,можеш
1044,49,плат
1045,49,показывает
1046,49,полк
1047,49,помниш
1048,49,проходит
1049,49,радостн
1050,49,разв
1051,49,сломал
1052,49,создан
1053,49,сотрудниц
1054,49,спит
1055,49,спуст
1056,49,ща
1057,48,25
1058,48,xx
1059,48,адрес
1060,48,александр
1061,48,баг
1062,48,вон
1063,48,вперв
1064,48,глубок
1065,48,дошл
1066,48,закон
1067,48,захож
1068,48,кон
1069,48,масл
1070,48,мнен
1071,48,монитор
1072,48,плеч
1073,48,подобн
1074,48,посуд
1075,48,редк
1076,48,российск
1077,48,рост
1078,48,сидят
1079,48,смешн
1080,48,солнц
1081,48,топор
1082,48,управлен
1083,48,шеф
1084,48,экзамен
1085,48,электрон
1086,47,бород
1087,47,включил
1088,47,джинс
1089,47,жрат
1090,47,жутк
1091,47,кра
1092,47,куриц
1093,47,надпис
1094,47,объяснит
1095,47,подхож
1096,47,попытк
1097,47,предложил
1098,47,розов
1099,47,снят
1100,47,соседк
1101,47,сук
1102,47,суров
1103,47,т.к.
1104,47,таракан
1105,47,услов
1106,47,чём
1107,47,ящик
1108,46,18
1109,46,geektimes
1110,46,автор
1111,46,верн
1112,46,вечн
1113,46,гляд
1114,46,деревн
1115,46,думает
1116,46,знают
1117,46,кран
1118,46,молч
1119,46,неудобн
1120,46,обновлен
1121,46,родн
1122,46,син
1123,46,скайп
1124,46,скучн
1125,46,служб
1126,46,смс
1127,46,средств
1128,46,технолог
1129,46,шутк
1130,46,электричк
1131,45,windows
1132,45,айфон
1133,45,бла
1134,45,вниз
1135,45,выш
1136,45,вышел
1137,45,готов
1138,45,дедушк
1139,45,дожд
1140,45,дяд
1141,45,зал
1142,45,иди
1143,45,искал
1144,45,кресл
1145,45,лекц
1146,45,модел
1147,45,моих
1148,45,н
1149,45,образ
1150,45,образован
1151,45,определен
1152,45,пацан
1153,45,песн
1154,45,покупат
1155,45,полностью
1156,45,полчас
1157,45,посмотр
1158,45,презерватив
1159,45,принят
1160,45,просил
1161,45,сделан
1162,45,селф
1163,45,сидет
1164,45,слегк
1165,45,слуша
1166,45,специалист
1167,45,ставит
1168,45,сут
1169,45,такж
1170,45,товар
1171,45,толп
1172,45,черт
1173,44,быстре
1174,44,велосипед
1175,44,вернулс
1176,44,гиктаймс
1177,44,достал
1178,44,ехал
1179,44,жалк
1180,44,знак
1181,44,известн
1182,44,институт
1183,44,искат
1184,44,кг
1185,44,крупн
1186,44,назвал
1187,44,отвечаю
1188,44,перестал
1189,44,покемон
1190,44,предыдущ
1191,44,привычк
1192,44,приложен
1193,44,принтер
1194,44,пытаетс
1195,44,ребёнк
1196,44,сист
1197,44,сумк
1198,44,убил
1199,44,хxх
1200,44,хотелос
1201,43,бизнес
1202,43,бок
1203,43,выдал
1204,43,готовит
1205,43,идёт
1206,43,инструкц
1207,43,кол
1208,43,кредит
1209,43,круг
1210,43,лун
1211,43,минимум
1212,43,неправильн
1213,43,нож
1214,43,одновремен
1215,43,папк
1216,43,поймал
1217,43,поликлиник
1218,43,понедельник
1219,43,предмет
1220,43,придумал
1221,43,ровн
1222,43,рыб
1223,43,скоре
1224,43,труб
1225,43,ту
1226,43,угу
1227,43,умеет
1228,43,учител
1229,43,факт
1230,43,физик
1231,42,беремен
1232,42,вход
1233,42,думаеш
1234,42,карман
1235,42,компьютерн
1236,42,наоборот
1237,42,невозможн
1238,42,обе
1239,42,отправил
1240,42,показал
1241,42,полезн
1242,42,положил
1243,42,появилс
1244,42,проверит
1245,42,работник
1246,42,рецепт
1247,42,случилос
1248,42,ссылк
1249,42,уехал
1250,42,универ
1251,42,уходит
1252,42,функц
1253,42,являетс
1254,41,y
1255,41,вперед
1256,41,впечатлен
1257,41,встреч
1258,41,выйт
1259,41,забавн
1260,41,звучит
1261,41,оставил
1262,41,палк
1263,41,питан
1264,41,помощ
1265,41,пропал
1266,41,прош
1267,41,рек
1268,41,сердц
1269,41,сигарет
1270,41,список
1271,41,счастлив
1272,41,счет
1273,41,техник
1274,41,устройств
1275,41,ушел
1276,41,хватит
1277,41,хлеб
1278,40,больниц
1279,40,буквальн
1280,40,везд
1281,40,выхож
1282,40,градус
1283,40,двадцат
1284,40,дизайнер
1285,40,дядьк
1286,40,звоню
1287,40,коротк
1288,40,костюм
1289,40,логик
1290,40,машинк
1291,40,настроен
1292,40,начальств
1293,40,нём
1294,40,объект
1295,40,осталос
1296,40,поздн
1297,40,поп
1298,40,порн
1299,40,прикольн
1300,40,самолет
1301,40,сказк
1302,40,смогл
1303,40,снег
1304,40,чё
1305,40,чёрн
1306,40,штан
1307,39,бит
1308,39,вкус
1309,39,внутрен
1310,39,выбор
1311,39,вывод
1312,39,гор
1313,39,доктор
1314,39,доллар
1315,39,дур
1316,39,жал
1317,39,заниматьс
1318,39,защит
1319,39,звонк
1320,39,здан
1321,39,интерес
1322,39,коллектив
1323,39,направлен
1324,39,наскольк
1325,39,пишут
1326,39,подарок
1327,39,представляю
1328,39,пришёл
1329,39,произошл
1330,39,просмотр
1331,39,прочитал
1332,39,ребёнок
1333,39,сахар
1334,39,свеж
1335,39,сможет
1336,39,снял
1337,39,собеседован
1338,39,спрашивают
1339,39,стил
1340,39,стр
1341,39,сыр
1342,39,ток
1343,39,тон
1344,39,ужин
1345,39,уровн
1346,39,уши
1347,39,хм
1348,39,четверт
1349,38,nick&gt
1350,38,больн
1351,38,бывают
1352,38,груд
1353,38,детал
1354,38,древн
1355,38,зна
1356,38,использован
1357,38,крыш
1358,38,лошад
1359,38,март
1360,38,миллион
1361,38,моим
1362,38,мультик
1363,38,наблюдал
1364,38,навстреч
1365,38,надеюс
1366,38,начат
1367,38,носит
1368,38,оба
1369,38,падает
1370,38,пассажир
1371,38,периодическ
1372,38,подошл
1373,38,покупк
1374,38,последне
1375,38,прощ
1376,38,середин
1377,38,съел
1378,38,сюд
1379,38,толст
1380,38,тонк
1381,38,труд
1382,38,хвост
1383,37,the
1384,37,абсолютн
1385,37,висит
1386,37,вызвал
1387,37,горд
1388,37,гот
1389,37,график
1390,37,двигател
1391,37,договор
1392,37,ждал
1393,37,запрос
1394,37,зашел
1395,37,идут
1396,37,имел
1397,37,материал
1398,37,мороз
1399,37,начинаетс
1400,37,организм
1401,37,плит
1402,37,полгод
1403,37,пошёл
1404,37,пробк
1405,37,сад
1406,37,семейн
1407,37,скажит
1408,37,смотриш
1409,37,спор
1410,37,срок
1411,37,становитс
1412,37,суббот
1413,37,чайник
1414,37,член
1415,36,xd
1416,36,аккуратн
1417,36,выглядит
1418,36,гараж
1419,36,грустн
1420,36,десятк
1421,36,доступ
1422,36,еды
1423,36,забор
1424,36,забрал
1425,36,задниц
1426,36,извинит
1427,36,колес
1428,36,комар
1429,36,кричит
1430,36,куп
1431,36,лап
1432,36,лист
1433,36,ммм
1434,36,мышк
1435,36,переписк
1436,36,пойт
1437,36,поскольк
1438,36,потерял
1439,36,професс
1440,36,слушаю
1441,36,смех
1442,36,суп
1443,36,считает
1444,36,темнот
1445,36,температур
1446,36,течен
1447,36,трус
1448,36,ужасн
1449,36,футболк
1450,36,хз
1451,36,чуд
1452,35,16
1453,35,господ
1454,35,гриб
1455,35,дурак
1456,35,математик
1457,35,мер
1458,35,набор
1459,35,наушник
1460,35,неожидан
1461,35,осталс
1462,35,открываю
1463,35,отц
1464,35,подарк
1465,35,поезд
1466,35,представит
1467,35,придетс
1468,35,салон
1469,35,сезон
1470,35,станц
1471,35,сутк
1472,35,сцен
1473,35,счаст
1474,35,услуг
1475,35,человеческ
1476,35,э
1477,34,бабул
1478,34,боев
1479,34,будильник
1480,34,вагон
1481,34,внук
1482,34,гер
1483,34,голуб
1484,34,добавил
1485,34,дух
1486,34,живут
1487,34,живёт
1488,34,задан
1489,34,замен
1490,34,контакт
1491,34,мож
1492,34,нек
1493,34,неплох
1494,34,ногт
1495,34,ночн
1496,34,однак
1497,34,оператор
1498,34,парк
1499,34,пачк
1500,34,персонаж
1501,34,пил
1502,34,прислал
1503,34,пункт
1504,34,пылесос
1505,34,рот
1506,34,саш
1507,34,серг
1508,34,сзад
1509,34,создат
1510,34,стакан
1511,34,труп
1512,34,фон
1513,33,222
1514,33,80
1515,33,бол
1516,33,ваканс
1517,33,весьм
1518,33,видиш
1519,33,вопл
1520,33,воскресен
1521,33,выдает
1522,33,грязн
1523,33,кладбищ
1524,33,лежат
1525,33,масс
1526,33,мечт
1527,33,мыл
1528,33,мягк
1529,33,назват
1530,33,нахер
1531,33,отделен
1532,33,отсутств
1533,33,паук
1534,33,предлагает
1535,33,приходил
1536,33,провел
1537,33,проходил
1538,33,психолог
1539,33,регулярн
1540,33,родственник
1541,33,розетк
1542,33,серверн
1543,33,смотрят
1544,33,собрал
1545,33,территор
1546,33,техническ
1547,33,уборщиц
1548,33,уровен
1549,33,фиг
1550,33,флешк
1551,33,чашк
1552,33,чащ
1553,33,шок
1554,32,a
1555,32,багажник
1556,32,большинств
1557,32,ващ
1558,32,голодн
1559,32,делаеш
1560,32,едет
1561,32,ждат
1562,32,замечательн
1563,32,инет
1564,32,ищу
1565,32,клуб
1566,32,км
1567,32,колбас
1568,32,кольц
1569,32,кусок
1570,32,маш
1571,32,минус
1572,32,называют
1573,32,находитс
1574,32,одеял
1575,32,паден
1576,32,пауз
1577,32,переехал
1578,32,переход
1579,32,печальн
1580,32,подряд
1581,32,подход
1582,32,полиц
1583,32,прикин
1584,32,пробовал
1585,32,рол
1586,32,роутер
1587,32,своё
1588,32,сообщил
1589,32,стенк
1590,32,таблиц
1591,32,ума
1592,32,хотят
1593,32,энерг
1594,32,ярк
1595,31,00
1596,31,xхx
1597,31,автоматическ
1598,31,активн
1599,31,алкогол
1600,31,вверх
1601,31,домик
1602,31,журнал
1603,31,завтрак
1604,31,землю
1605,31,зло
1606,31,зомб
1607,31,кирпич
1608,31,клавиатур
1609,31,кружк
1610,31,летн
1611,31,механик
1612,31,мобильн
1613,31,мод
1614,31,мотоцикл
1615,31,мыт
1616,31,набрал
1617,31,объяснил
1618,31,оке
1619,31,опасн
1620,31,организац
1621,31,ответит
1622,31,отдал
1623,31,пельмен
1624,31,платит
1625,31,поднят
1626,31,подскажит
1627,31,поколен
1628,31,получитс
1629,31,популярн
1630,31,представил
1631,31,продавц
1632,31,просьб
1633,31,рассказыват
1634,31,реальност
1635,31,роман
1636,31,садик
1637,31,снимат
1638,31,сходит
1639,31,табличк
1640,31,твою
1641,31,теор
1642,31,угодн
1643,31,удалос
1644,31,умер
1645,31,учен
1646,31,шаблон
1647,31,школьн
1648,31,юрист
1649,30,1с
1650,30,бар
1651,30,близк
1652,30,болит
1653,30,бумажк
1654,30,верит
1655,30,видет
1656,30,вселен
1657,30,газ
1658,30,девят
1659,30,диет
1660,30,дим
1661,30,еле
1662,30,запис
1663,30,заявк
1664,30,звезд
1665,30,инструмент
1666,30,корм
1667,30,корпус
1668,30,кост
1669,30,краск
1670,30,куртк
1671,30,линукс
1672,30,любов
1673,30,любят
1674,30,макс
1675,30,мар
1676,30,мост
1677,30,неб
1678,30,неизвестн
1679,30,оказалс
1680,30,операц
1681,30,охранник
1682,30,пакетик
1683,30,параллельн
1684,30,передач
1685,30,поддержк
1686,30,показат
1687,30,помещен
1688,30,помнит
1689,30,появляетс
1690,30,привезл
1691,30,природ
1692,30,проснулс
1693,30,пытаюс
1694,30,разработк
1695,30,рюкзак
1696,30,светофор
1697,30,сигнал
1698,30,слав
1699,30,сладк
1700,30,следует
1701,30,собрат
1702,30,списк
1703,30,справк
1704,30,тайн
1705,30,танк
1706,30,техподдержк
1707,30,убит
1708,30,установк
1709,30,характерн
1710,30,японск
1711,29,11
1712,29,canakau
1713,29,it
1714,29,анекдот
1715,29,бат
1716,29,ближайш
1717,29,вежлив
1718,29,вирус
1719,29,вк
1720,29,включен
1721,29,вспоминаю
1722,29,говориш
1723,29,горазд
1724,29,дават
1725,29,добавит
1726,29,закрыл
1727,29,зап
1728,29,интеллект
1729,29,канал
1730,29,каф
1731,29,килограмм
1732,29,космос
1733,29,крышк
1734,29,ловит
1735,29,молок
1736,29,нажат
1737,29,напротив
